"","game_id","team_1","team_2","win_1","win_2","total_active_stars","cum_final_score","total_views","CombinedRevenues","FBRatio","TwitterRatio","CombinedPPG"
"614",21600615,"MIL","PHI",51.28,31.58,1,217,20415,363,0.0190413657255417,0.04,216.3
"615",21600616,"NOP","IND",39.02,51.28,2,193,14409,409,0.0321733420879842,0.0316666666666667,217.3
"616",21600617,"DEN","ORL",39.47,40.48,0,237,10163,413,0.0302035456336179,0.0383333333333333,213.4
"618",21600619,"CLE","GSW",74.36,85,7,217,67876,639,0.129349967170059,0.145,224.4
"619",21600620,"PHX","UTA",32.5,61.9,1,207,11823,439,0.0203545633617859,0.0266666666666667,208
"620",21600621,"LAC","OKC",66.67,59.52,2,218,21838,479,0.0728824688115561,0.0633333333333333,216.9
"621",21600622,"BKN","TOR",20,67.5,2,228,11563,523,0.0328299409061064,0.0383333333333333,218.3
"623",21600624,"CHI","DAL",50,32.5,1,197,23052,514,0.150361129349967,0.09,205.2
"624",21600625,"MIN","SAS",34.15,77.5,1,236,24168,463,0.0590938936309915,0.0683333333333333,212.2
"625",21600626,"DEN","LAL",41.03,33.33,0,248,15236,573,0.153644123440578,0.135,218.1
"626",21600627,"PHI","TOR",33.33,68.29,2,183,21873,434,0.0242941562705187,0.05,221.5
"628",21600629,"POR","CHA",41.86,48.78,1,192,6870,425,0.0269205515430072,0.0333333333333333,213.8
"629",21600630,"BOS","NYK",63.41,42.86,2,223,23562,683,0.0991464215364412,0.0866666666666667,208.5
"631",21600632,"HOU","MIL",72.73,50,2,203,17294,475,0.0341431385423506,0.0566666666666667,218.9
"632",21600633,"ATL","DET",58.54,44.19,1,213,6239,430,0.0229809586342745,0.0316666666666667,207.2
"633",21600634,"GSW","OKC",85.37,58.14,5,221,49122,581,0.119500984898227,0.135,221.4
"634",21600635,"IND","SAC",52.5,40,2,206,9391,445,0.0334865397242285,0.0333333333333333,204.5
"635",21600636,"CLE","PHX",72.5,31.71,3,221,25723,498,0.0695994747209455,0.0666666666666667,214.8
"636",21600637,"DAL","MIA",34.15,28.57,0,194,13456,486,0.13263296126067,0.1,205.7
"637",21600638,"NYK","WAS",44.19,53.66,2,223,18371,648,0.0499015101772817,0.0466666666666667,211.1
"639",21600640,"LAC","MIN",67.44,33.33,1,205,18802,461,0.0374261326329613,0.035,218.5
"640",21600641,"PHI","POR",35,40.91,0,185,30951,407,0.025607353906763,0.0433333333333333,215.4
"641",21600642,"TOR","CHA",66.67,50,3,191,12496,452,0.025607353906763,0.04,219.9
"643",21600644,"SAC","MEM",39.02,56.82,2,198,6810,446,0.0236375574523966,0.03,198.2
"644",21600645,"NOP","BKN",39.53,19.51,1,257,7870,477,0.0288903479973736,0.0266666666666667,218.3
"645",21600646,"GSW","HOU",85.71,73.33,5,233,53185,655,0.0971766250820748,0.135,225.9
"646",21600647,"ATL","CHI",57.14,48.84,2,195,11852,490,0.131319763624425,0.085,206.3
"647",21600648,"DAL","UTA",33.33,62.79,1,219,16126,454,0.0374261326329613,0.035,206.4
"648",21600649,"LAL","IND",32.61,53.66,1,203,16709,576,0.162836506894288,0.14,213.7
"649",21600650,"BOS","POR",61.9,40,1,250,27444,480,0.0748522652659225,0.0716666666666667,209.6
"651",21600652,"BKN","CHA",21.43,51.16,1,217,7219,475,0.0295469468154957,0.0283333333333333,214.8
"653",21600654,"NYK","PHX",43.18,30.95,1,212,19380,644,0.0525279054497702,0.0483333333333333,208.4
"655",21600656,"HOU","MEM",71.74,57.78,2,214,12146,502,0.0367695338148391,0.0566666666666667,211.7
"656",21600657,"CLE","SAS",73.17,78.57,4,233,55304,539,0.104399212081418,0.106666666666667,213.6
"657",21600658,"DEN","LAC",41.46,65.91,1,221,5297,459,0.0380827314510834,0.035,219
"658",21600659,"IND","UTA",52.38,63.64,2,209,5663,426,0.0295469468154957,0.03,209.7
"659",21600660,"CHI","SAC",47.73,38.1,2,201,14895,521,0.13263296126067,0.0816666666666667,201.8
"660",21600661,"GSW","ORL",86.05,40,4,216,32543,570,0.0899540380827314,0.118333333333333,216.9
"661",21600662,"DAL","LAL",32.56,34.04,0,195,17749,604,0.170715692711753,0.145,210.4
"662",21600663,"PHX","TOR",32.56,65.12,2,218,14993,468,0.0269205515430072,0.04,215.6
"663",21600664,"DEN","MIN",42.86,34.88,0,219,16224,406,0.0242941562705187,0.0266666666666667,219.5
"664",21600665,"WAS","CHA",53.49,52.27,2,208,10787,424,0.0210111621799081,0.0283333333333333,214.8
"665",21600666,"BKN","SAS",20.93,79.07,1,198,11031,532,0.0656598818122127,0.0683333333333333,209.3
"666",21600667,"ATL","LAC",59.09,64.44,2,220,9263,466,0.036112934996717,0.04,212.4
"667",21600668,"GSW","MIA",86.36,31.82,4,207,46626,612,0.175311884438608,0.17,216.9
"668",21600669,"SAC","DET",37.21,46.67,1,213,5052,461,0.0242941562705187,0.0283333333333333,202.7
"670",21600671,"CLE","NOP",71.43,38.64,3,246,27904,484,0.0676296782665791,0.065,222.6
"671",21600672,"NYK","IND",42.22,51.16,2,212,14649,631,0.06172028890348,0.0516666666666667,210.1
"673",21600674,"SAS","TOR",79.55,63.64,2,214,29043,509,0.06172028890348,0.08,214.4
"674",21600675,"LAC","PHI",65.22,35.71,1,231,14429,441,0.0354563361785949,0.0466666666666667,218.8
"676",21600677,"CHI","ORL",48.89,39.13,1,192,10458,492,0.138542350623769,0.0916666666666667,206.3
"677",21600678,"DEN","UTA",41.86,63.04,1,196,9014,423,0.0203545633617859,0.025,214.1
"678",21600679,"MIN","PHX",36.36,34.09,0,223,20164,422,0.0242941562705187,0.0283333333333333,213.4
"679",21600680,"CLE","SAC",69.77,38.64,4,228,40758,520,0.0689428759028234,0.0666666666666667,209.8
"681",21600682,"MIA","BKN",33.33,20.45,0,215,9898,526,0.121470781352594,0.09,210
"682",21600683,"ATL","CHI",57.78,50,2,233,11927,490,0.131319763624425,0.085,206.3
"683",21600684,"MIL","PHI",47.73,37.21,1,223,16768,363,0.0190413657255417,0.04,216.3
"684",21600685,"TOR","MEM",62.22,56.52,2,200,11159,456,0.0262639527248851,0.04,211
"685",21600686,"NOP","OKC",40,57.78,2,219,11310,426,0.0577806959947472,0.055,219.6
"686",21600687,"GSW","CHA",84.44,51.11,5,216,29892,561,0.0833880499015102,0.108333333333333,221.7
"687",21600688,"DAL","NYK",34.09,43.48,1,198,14459,659,0.0695994747209455,0.0566666666666667,206.8
"688",21600689,"LAL","POR",33.33,41.3,0,203,12839,594,0.156927117531188,0.14,213.7
"689",21600690,"DAL","OKC",35.56,58.7,1,207,21570,455,0.0768220617202889,0.065,210.2
"690",21600691,"MIN","IND",37.78,50,1,212,13279,409,0.0334865397242285,0.0316666666666667,215.1
"693",21600694,"HOU","PHI",69.39,38.64,1,241,24550,480,0.0347997373604727,0.0666666666666667,222.2
"694",21600695,"CLE","BKN",68.18,20,3,240,22613,553,0.0755088640840446,0.065,217.5
"695",21600696,"IND","SAC",51.11,40,2,226,17986,445,0.0334865397242285,0.0333333333333333,204.5
"696",21600697,"BOS","ORL",60,38.3,1,226,8809,468,0.0768220617202889,0.0783333333333333,207.4
"697",21600698,"MIL","TOR",46.67,60.87,2,188,11102,429,0.0236375574523966,0.04,218.2
"698",21600699,"NYK","CHA",42.55,50,2,217,18121,628,0.0512147078135259,0.0483333333333333,212.7
"701",21600702,"ATL","WAS",58.7,55.56,2,198,5763,431,0.0203545633617859,0.0316666666666667,210
"704",21600705,"MIA","DET",36.17,45.65,0,219,11601,474,0.115561391989494,0.09,207.2
"707",21600708,"UTA","MEM",62.5,56.25,2,197,9988,427,0.0196979645436638,0.0266666666666667,203.4
"709",21600710,"MIN","BKN",36.96,19.57,0,238,8067,477,0.0302035456336179,0.0266666666666667,216.1
"711",21600712,"CLE","OKC",68.89,59.57,4,198,40517,502,0.104399212081418,0.0933333333333333,218.8
"712",21600713,"HOU","IND",70,52.17,2,221,14996,501,0.046618516086671,0.06,218
"713",21600714,"NOP","WAS",40.43,56.52,2,201,7491,426,0.0203545633617859,0.0266666666666667,218.3
"714",21600715,"ORL","TOR",37.5,61.7,2,227,12914,461,0.0321733420879842,0.05,215.1
"715",21600716,"CHI","PHI",47.92,37.78,1,229,15362,465,0.130663164806303,0.0916666666666667,212.7
"716",21600717,"DAL","SAS",34.78,78.26,1,206,18170,492,0.0768220617202889,0.0783333333333333,205
"719",21600719,"MIA","BKN",37.5,19.15,0,200,9946,526,0.121470781352594,0.09,210
"721",21600721,"BOS","DET",61.7,44.68,1,222,14450,478,0.0715692711753119,0.0666666666666667,207.8
"722",21600722,"CLE","DAL",69.57,36.17,3,201,27001,513,0.0866710439921208,0.075,213.2
"723",21600723,"PHX","MEM",31.91,57.14,1,211,9213,424,0.0242941562705187,0.03,203.2
"724",21600724,"NYK","WAS",42.86,57.45,2,218,16789,648,0.0499015101772817,0.0466666666666667,211.1
"725",21600725,"NOP","TOR",39.58,60.42,2,214,20487,454,0.0249507550886408,0.0383333333333333,223.4
"726",21600726,"HOU","SAC",68.63,39.58,2,188,10859,536,0.0367695338148391,0.0566666666666667,211.3
"727",21600727,"SAS","OKC",76.6,58.33,2,202,25386,481,0.0945502298095863,0.0966666666666667,210.6
"728",21600728,"POR","CHA",42.86,47.92,1,213,7923,425,0.0269205515430072,0.0333333333333333,213.8
"729",21600729,"DEN","LAL",45.65,32,0,236,15440,573,0.153644123440578,0.135,218.1
"730",21600730,"ORL","IND",38,53.19,1,186,7858,416,0.0393959290873276,0.0433333333333333,209
"732",21600732,"BOS","TOR",62.5,61.22,2,213,23424,507,0.0735390676296783,0.0783333333333333,215.7
"733",21600733,"BKN","NYK",18.75,42,1,185,13195,699,0.0584372948128693,0.0466666666666667,211.1
"736",21600736,"DAL","PHI",37.5,38.3,0,208,9777,417,0.0393959290873276,0.0483333333333333,212.1
"737",21600737,"DEN","MEM",44.68,58,1,218,3954,408,0.0242941562705187,0.0283333333333333,209.3
"738",21600738,"MIL","UTA",44.68,61.22,2,192,6851,400,0.0170715692711753,0.0266666666666667,210.6
"739",21600739,"LAC","PHX",62.5,31.25,1,238,9117,475,0.0380827314510834,0.0366666666666667,212.9
"740",21600740,"CHI","OKC",48.98,57.14,2,228,16797,503,0.168089297439265,0.108333333333333,210.8
"741",21600741,"GSW","CHA",85.42,46.94,5,237,30412,561,0.0833880499015102,0.108333333333333,221.7
"742",21600742,"LAL","WAS",33.33,58.33,1,224,19342,593,0.151017728168089,0.135,214.7
"744",21600744,"PHI","SAS",37.5,77.08,1,188,18428,443,0.0571240971766251,0.08,212.5
"745",21600745,"GSW","LAC",85.71,63.27,5,253,36634,616,0.097833223900197,0.115,222.5
"746",21600746,"ORL","TOR",37.25,60,1,196,14976,461,0.0321733420879842,0.05,215.1
"747",21600747,"BKN","IND",18.37,54.17,1,203,7137,478,0.0400525279054498,0.0316666666666667,212.2
"749",21600749,"CHI","HOU",50,67.92,2,238,28610,577,0.145764937623112,0.108333333333333,215.3
"750",21600750,"OKC","MEM",56,58.82,2,216,17918,428,0.0590938936309915,0.0566666666666667,207.2
"751",21600751,"BOS","LAL",63.27,32.69,1,220,17065,628,0.200262639527249,0.175,212.1
"753",21600753,"PHX","SAC",30.61,38.78,1,208,11094,458,0.0242941562705187,0.03,202.8
"754",21600754,"DAL","POR",38.78,44,0,212,12838,456,0.0453053184504268,0.0416666666666667,207.9
"756",21600756,"ATL","ORL",58,38.46,1,199,7361,420,0.0282337491792515,0.0433333333333333,206.8
"757",21600757,"IND","DET",55.1,46,1,189,7563,426,0.0341431385423506,0.0316666666666667,209.4
"758",21600758,"MIA","PHI",40,36.73,0,227,13094,437,0.112934996717006,0.101666666666667,213.2
"761",21600761,"MIL","PHX",42.86,32,1,249,8639,397,0.0216677609980302,0.03,210.4
"762",21600762,"DEN","SAS",44.9,77.55,1,218,11562,461,0.0597504924491136,0.0683333333333333,212.7
"763",21600763,"MIN","MEM",38,57.69,1,206,8816,410,0.0236375574523966,0.0283333333333333,208.8
"764",21600764,"GSW","SAC",86,38,5,215,44274,599,0.0840446487196323,0.108333333333333,212.4
"765",21600765,"BKN","TOR",18,58.82,1,198,11827,523,0.0328299409061064,0.0383333333333333,218.3
"766",21600766,"BOS","LAC",64,62,2,209,26583,514,0.0847012475377544,0.075,213
"768",21600768,"LAL","NYK",32.08,42.31,1,228,17419,797,0.181221273801707,0.155,212.6
"769",21600769,"CLE","WAS",69.39,60,4,275,50602,502,0.066973079448457,0.065,217.5
"770",21600770,"IND","OKC",56,57.69,2,183,15037,427,0.0689428759028234,0.06,213.5
"771",21600771,"LAC","TOR",60.78,59.62,3,227,9900,507,0.0400525279054498,0.0466666666666667,220.7
"772",21600772,"ATL","UTA",58.82,62.75,2,215,5477,430,0.0183847669074196,0.03,207.5
"774",21600774,"NOP","PHX",37.25,31.37,1,217,8205,422,0.0229809586342745,0.0283333333333333,215.6
"775",21600775,"MIA","MIN",41.18,37.25,0,228,11477,457,0.114904793171372,0.09,212.9
"776",21600776,"DAL","DEN",40,44,0,197,5923,435,0.0420223243598161,0.0366666666666667,212.3
"777",21600777,"SAS","MEM",78,58.49,2,163,15011,465,0.0590938936309915,0.07,202
"779",21600779,"BKN","CHA",17.65,45.1,1,218,11001,475,0.0295469468154957,0.0283333333333333,214.8
"780",21600780,"HOU","ORL",68.52,37.74,1,232,12319,507,0.0426789231779383,0.0666666666666667,215.8
"781",21600781,"DAL","POR",39.22,42.31,0,227,18419,456,0.0453053184504268,0.0416666666666667,207.9
"782",21600782,"PHI","SAS",35.29,76.47,1,214,14124,443,0.0571240971766251,0.08,212.5
"783",21600783,"CLE","IND",70,56.86,4,249,24548,485,0.0787918581746553,0.07,216.5
"785",21600785,"ATL","DEN",57.69,45.1,1,223,5419,411,0.0229809586342745,0.0316666666666667,213.4
"786",21600786,"LAL","DET",33.33,46.15,0,223,6975,592,0.153644123440578,0.135,211.9
"787",21600787,"MIA","MIL",42.31,44,1,194,8281,432,0.112278397898884,0.0916666666666667,209.9
"788",21600788,"PHX","MEM",30.77,59.26,1,201,3356,424,0.0242941562705187,0.03,203.2
"789",21600789,"NOP","UTA",38.46,63.46,2,221,3898,425,0.0183847669074196,0.025,215.8
"790",21600790,"MIN","TOR",36.54,60.38,2,221,10915,454,0.0262639527248851,0.0383333333333333,221.2
"792",21600792,"CHI","GSW",50,84.31,5,215,24105,640,0.193040052527905,0.16,216.4
"794",21600794,"HOU","CHA",69.09,46.15,2,202,13797,498,0.036112934996717,0.0566666666666667,220.6
"795",21600795,"ORL","PHI",37.04,34.62,0,223,16605,395,0.0275771503611294,0.05,213.2
"798",21600798,"BOS","POR",63.46,43.4,1,231,16537,480,0.0748522652659225,0.0716666666666667,209.6
"799",21600799,"MIA","BKN",43.4,16.98,0,207,12115,526,0.121470781352594,0.09,210
"800",21600800,"DEN","NYK",44.23,40.74,1,254,15551,628,0.0525279054497702,0.0466666666666667,214.5
"801",21600801,"SAS","DET",76.92,47.17,1,195,11719,480,0.0597504924491136,0.0683333333333333,206.5
"803",21600803,"GSW","MEM",84.62,60,5,229,31621,565,0.0840446487196323,0.108333333333333,212.8
"804",21600804,"NOP","MIN",37.74,37.74,1,228,7659,408,0.0223243598161523,0.0266666666666667,221.2
"805",21600805,"IND","WAS",55.77,59.62,2,219,9483,427,0.0315167432698621,0.0316666666666667,212.2
"806",21600806,"ATL","SAC",58.49,39.62,2,215,12505,449,0.0223243598161523,0.0333333333333333,202.3
"807",21600807,"CHI","PHX",49.06,30.19,1,212,10508,499,0.133289560078792,0.0816666666666667,206.8
"808",21600808,"LAC","CHA",60.38,45.28,2,209,19022,459,0.0367695338148391,0.0366666666666667,217.2
"809",21600809,"MIL","IND",42.31,54.72,2,216,13365,384,0.03086014445174,0.0333333333333333,212.1
"810",21600810,"MIA","PHI",44.44,35.85,0,226,16035,437,0.112934996717006,0.101666666666667,213.2
"812",21600812,"HOU","PHX",69.64,31.48,1,235,9540,514,0.0374261326329613,0.0566666666666667,216.3
"813",21600813,"GSW","OKC",84.91,57.41,5,244,59381,581,0.119500984898227,0.135,221.4
"814",21600814,"DAL","ORL",39.62,36.36,0,192,5340,444,0.0472751149047932,0.0483333333333333,205.7
"815",21600815,"BOS","UTA",64.15,62.96,2,216,13700,478,0.066973079448457,0.065,208.1
"817",21600817,"NYK","SAS",40,77.36,2,184,32315,685,0.0873276428102429,0.0883333333333333,207.2
"818",21600818,"TOR","DET",59.26,46.3,2,203,18546,471,0.0269205515430072,0.0383333333333333,215.5
"819",21600819,"NOP","SAC",38.89,40.74,2,204,10158,444,0.0223243598161523,0.0283333333333333,210.6
"820",21600820,"OKC","WAS",56.36,60.38,2,218,12041,444,0.0571240971766251,0.055,214.5
"821",21600821,"PHI","CHA",37.04,44.44,1,204,9719,386,0.0210111621799081,0.04,218
"823",21600823,"MIA","ORL",43.64,35.71,0,223,7155,464,0.120814182534471,0.101666666666667,206.8
"824",21600824,"MIL","DET",43.4,47.27,1,191,4974,400,0.0216677609980302,0.0283333333333333,210.3
"825",21600825,"IND","SAS",53.7,75.93,2,216,16753,464,0.0689428759028234,0.0733333333333333,208.3
"826",21600826,"BOS","DAL",64.81,40.74,1,209,10662,490,0.0886408404464872,0.0766666666666667,206.3
"827",21600827,"DEN","GSW",44.44,85.19,4,242,27014,561,0.0847012475377544,0.106666666666667,223.5
"828",21600828,"LAC","UTA",61.11,61.82,2,160,5341,478,0.0334865397242285,0.0333333333333333,213.1
"830",21600830,"ATL","POR",57.41,42.59,1,213,12381,432,0.0262639527248851,0.0366666666666667,209
"832",21600832,"CLE","MIN",69.81,38.18,2,224,26596,484,0.0689428759028234,0.065,220.4
"833",21600833,"LAL","SAC",33.93,41.82,1,193,16627,611,0.152987524622456,0.136666666666667,207
"834",21600834,"ORL","SAS",36.84,76.36,1,186,9335,470,0.0650032829940906,0.08,206.1
"836",21600836,"BOS","PHI",65.45,38.18,1,224,13893,441,0.0689428759028234,0.0783333333333333,213.8
"837",21600837,"TOR","CHA",57.14,43.64,3,175,8839,452,0.025607353906763,0.04,219.9
"838",21600838,"MIL","BKN",44.44,16.36,1,254,7882,452,0.0275771503611293,0.0283333333333333,213.1
"839",21600839,"DAL","DET",40,46.43,0,189,3689,454,0.0420223243598161,0.0366666666666667,206.1
"840",21600840,"NOP","MEM",39.29,59.65,2,186,6593,410,0.0223243598161523,0.0283333333333333,211
"841",21600841,"HOU","MIA",70.18,42.86,1,226,10389,549,0.128036769533815,0.118333333333333,215.8
"842",21600842,"DEN","MIN",45.45,37.5,0,211,7327,406,0.0242941562705187,0.0266666666666667,219.5
"843",21600843,"POR","UTA",41.82,60.71,1,199,5080,444,0.0236375574523966,0.03,209.7
"844",21600844,"LAL","PHX",33.33,30.36,0,238,5228,589,0.153644123440578,0.136666666666667,212
"845",21600845,"NYK","OKC",41.07,55.36,2,221,17700,648,0.0873276428102429,0.075,212.4
"846",21600846,"ATL","LAC",58.18,61.82,2,183,7214,466,0.036112934996717,0.04,212.4
"847",21600847,"GSW","SAC",83.64,42.86,5,195,23204,599,0.0840446487196323,0.108333333333333,212.4
"848",21600848,"IND","WAS",51.79,61.11,2,209,13155,427,0.0315167432698621,0.0316666666666667,212.2
"849",21600849,"BOS","CHI",66.07,48.21,2,207,25069,538,0.179908076165463,0.12,206.9
"850",21600850,"ORL","POR",36.21,41.07,0,215,16203,434,0.0334865397242285,0.0433333333333333,209
"851",21600851,"DET","CHA",47.37,42.86,1,222,12211,423,0.0236375574523966,0.0283333333333333,212
"852",21600852,"NOP","HOU",40.35,68.97,3,228,37168,500,0.0354563361785949,0.055,224.1
"854",21600854,"GSW","LAC",83.93,62.5,5,236,34378,616,0.097833223900197,0.115,222.5
"855",21600855,"DEN","SAC",44.64,42.11,0,216,9588,442,0.0242941562705187,0.0283333333333333,208.9
"857",21600857,"IND","MEM",50.88,58.62,2,194,8724,411,0.0334865397242285,0.0333333333333333,204.9
"858",21600858,"BOS","TOR",64.91,57.89,2,204,24230,507,0.0735390676296783,0.0783333333333333,215.7
"861",21600861,"LAL","OKC",32.76,56.14,1,203,17413,593,0.188443860801051,0.163333333333333,216
"862",21600862,"DAL","MIN",39.29,38.6,0,181,7685,437,0.041365725541694,0.0366666666666667,211.8
"863",21600863,"ATL","MIA",57.14,43.86,1,198,5107,462,0.113591595535128,0.095,206.8
"865",21600865,"LAC","SAS",61.4,76.79,2,202,21157,516,0.0728824688115561,0.0766666666666667,211.7
"867",21600867,"ATL","ORL",56.14,35.59,1,191,10160,420,0.0282337491792515,0.0433333333333333,206.8
"868",21600868,"NYK","PHI",39.66,38.6,1,219,23020,610,0.0499015101772817,0.0583333333333333,214.3
"869",21600869,"MIA","IND",44.83,51.72,1,208,9402,458,0.124753775443204,0.095,209
"870",21600870,"NOP","DAL",39.66,38.6,2,179,18669,437,0.0400525279054498,0.0366666666666667,214
"871",21600871,"CLE","CHI",71.43,50,3,216,26299,561,0.177938279711096,0.118333333333333,213.8
"872",21600872,"HOU","MIN",69.49,39.66,1,272,14321,500,0.0367695338148391,0.055,221.9
"873",21600873,"GSW","BKN",84.21,15.79,3,207,24948,632,0.0906106369008536,0.106666666666667,220.1
"874",21600874,"LAL","SAS",32.2,77.19,1,217,18260,630,0.188443860801051,0.176666666666667,210.8
"875",21600875,"MIL","PHX",44.64,31.03,1,196,14179,397,0.0216677609980302,0.03,210.4
"876",21600876,"DEN","MEM",44.83,57.63,1,203,8559,408,0.0242941562705187,0.0283333333333333,209.3
"877",21600877,"UTA","WAS",62.07,60.71,2,194,11508,443,0.0177281680892974,0.025,210.7
"879",21600879,"BOS","DET",63.79,48.28,1,202,13537,478,0.0715692711753119,0.0666666666666667,207.8
"880",21600880,"NOP","OKC",38.98,56.9,3,228,27006,426,0.0577806959947472,0.055,219.6
"881",21600881,"LAC","CHA",60.34,43.1,2,245,16621,459,0.0367695338148391,0.0366666666666667,217.2
"882",21600882,"NYK","TOR",40.68,59.32,2,183,18882,676,0.0544977019041366,0.0583333333333333,216.2
"884",21600884,"CLE","MIL",70.18,45.61,3,197,21220,459,0.0663164806303349,0.0666666666666667,217.4
"885",21600885,"ATL","BOS",55.17,64.41,2,212,12354,466,0.0695994747209455,0.0716666666666667,207.4
"886",21600886,"HOU","IND",70,50.85,2,225,13058,501,0.046618516086671,0.06,218
"887",21600887,"DAL","MIA",39.66,45.76,0,185,10544,486,0.13263296126067,0.1,205.7
"888",21600888,"MIN","SAC",38.98,42.37,0,190,6842,444,0.0236375574523966,0.0283333333333333,208.4
"889",21600889,"GSW","WAS",84.75,59.65,5,220,42982,581,0.0820748522652659,0.106666666666667,220.1
"891",21600891,"CHI","DEN",50.85,44.07,1,232,9949,483,0.133289560078792,0.08,212.9
"892",21600892,"PHX","MEM",30.51,58.33,1,242,6750,424,0.0242941562705187,0.03,203.2
"893",21600893,"OKC","UTA",57.63,62.71,2,215,19062,443,0.0551543007222587,0.0533333333333333,212
"894",21600894,"LAL","CHA",31.67,42.37,1,213,15020,573,0.152330925804334,0.136666666666667,216.3
"895",21600895,"NYK","ORL",40,36.67,1,191,13076,637,0.0577806959947472,0.0583333333333333,207.9
"896",21600896,"TOR","WAS",60,60.34,2,201,10693,472,0.0242941562705187,0.0383333333333333,218.3
"897",21600897,"ATL","DAL",55.93,40.68,1,195,7525,442,0.0400525279054498,0.0416666666666667,205.7
"898",21600898,"MIA","PHI",45,37.29,0,223,6007,437,0.112934996717006,0.101666666666667,213.2
"900",21600900,"NOP","DET",38.33,48.33,2,195,6458,425,0.0229809586342745,0.0266666666666667,215.5
"901",21600901,"BOS","CLE",63.33,70.69,3,202,36357,537,0.116217990807617,0.105,214.9
"902",21600902,"IND","SAS",51.67,77.59,2,199,20725,464,0.0689428759028234,0.0733333333333333,208.3
"903",21600903,"MIN","UTA",40,61.67,1,187,5964,425,0.0196979645436638,0.025,213.6
"904",21600904,"HOU","LAC",68.85,61.02,2,225,15278,553,0.0505581089954038,0.0633333333333333,221.4
"905",21600905,"BKN","SAC",15.52,41.67,0,209,7065,513,0.0302035456336179,0.0283333333333333,205.5
"906",21600906,"CHI","GSW",50,83.33,4,181,38570,640,0.193040052527905,0.16,216.4
"907",21600907,"PHX","CHA",30,43.33,1,223,8746,420,0.0236375574523966,0.03,212.1
"912",21600912,"LAC","MIL",60,44.07,2,213,12701,436,0.0347997373604727,0.0366666666666667,215.5
"913",21600913,"ATL","CLE",56.67,69.49,3,265,27145,489,0.0676296782665791,0.07,214.3
"914",21600914,"DAL","MEM",40,59.02,1,204,8013,439,0.041365725541694,0.0383333333333333,201.6
"916",21600916,"PHX","OKC",31.15,57.38,1,229,13632,440,0.0597504924491136,0.0566666666666667,211.8
"917",21600917,"NOP","SAS",39.34,77.97,3,199,23763,463,0.0577806959947472,0.0683333333333333,214.4
"918",21600918,"BOS","LAL",63.93,31.15,1,210,12384,628,0.200262639527249,0.175,212.1
"919",21600919,"PHI","DET",37.7,47.54,0,242,12432,405,0.0223243598161523,0.0383333333333333,213.6
"920",21600920,"MIL","TOR",45,59.68,2,195,13738,429,0.0236375574523966,0.04,218.2
"921",21600921,"CLE","MIA",70,45.16,2,212,24040,533,0.160210111621799,0.128333333333333,214.3
"922",21600922,"CHI","LAC",50.82,59.02,2,192,16113,538,0.146421536441234,0.0883333333333333,211.9
"923",21600923,"DEN","CHA",45.9,42.62,1,214,4916,404,0.0236375574523966,0.0283333333333333,218.2
"924",21600924,"HOU","MEM",69.35,58.06,2,231,10697,502,0.0367695338148391,0.0566666666666667,211.7
"926",21600926,"BKN","POR",16.67,41.67,0,246,6936,496,0.0341431385423506,0.0316666666666667,212.2
"928",21600928,"GSW","NYK",81.97,40.32,4,217,45639,785,0.112278397898884,0.126666666666667,218
"929",21600929,"BOS","PHX",64.52,32.26,1,215,22477,475,0.0715692711753119,0.0683333333333333,207.9
"930",21600930,"ORL","WAS",37.1,60,1,229,16014,433,0.0275771503611294,0.0383333333333333,210
"931",21600931,"SAC","UTA",40.98,61.29,1,219,16527,461,0.0196979645436638,0.0266666666666667,203
"932",21600932,"DAL","OKC",40.98,56.45,1,193,15904,455,0.0768220617202889,0.065,210.2
"933",21600933,"NOP","LAL",38.71,30.65,2,202,13886,575,0.151674326986211,0.135,219.8
"934",21600934,"MIL","PHI",45.9,37.1,1,210,7353,363,0.0190413657255417,0.04,216.3
"935",21600935,"NYK","ORL",39.68,36.51,0,218,9399,637,0.0577806959947472,0.0583333333333333,207.9
"936",21600936,"CLE","MIA",68.85,46.03,2,204,27729,533,0.160210111621799,0.128333333333333,214.3
"937",21600937,"ATL","GSW",54.84,82.26,4,230,26031,568,0.082731451083388,0.111666666666667,216.9
"938",21600938,"CHI","DET",50,48.39,1,204,6633,502,0.133289560078792,0.08,206.7
"939",21600939,"BKN","MEM",16.39,57.14,1,231,5853,479,0.0302035456336179,0.0283333333333333,205.9
"940",21600941,"IND","CHA",51.61,43.55,2,188,3388,407,0.0328299409061064,0.0333333333333333,213.8
"942",21600943,"DEN","SAC",45.16,40.32,0,204,3105,442,0.0242941562705187,0.0283333333333333,208.9
"943",21600944,"NOP","UTA",39.68,61.9,3,171,7866,425,0.0183847669074196,0.025,215.8
"944",21600945,"BOS","LAC",63.49,59.68,2,218,15660,514,0.0847012475377544,0.075,213
"945",21600946,"POR","OKC",42.62,55.56,1,247,23174,445,0.0630334865397242,0.06,213.5
"946",21600947,"DAL","LAL",41.94,30.16,0,233,14446,604,0.170715692711753,0.145,210.4
"947",21600948,"PHX","WAS",33.33,60.66,1,258,12413,440,0.0223243598161523,0.0283333333333333,210.5
"949",21600950,"ATL","BKN",53.97,17.74,1,215,9101,482,0.0288903479973736,0.0316666666666667,210
"951",21600952,"MIL","NYK",46.77,40.62,2,197,9574,605,0.0492449113591596,0.0483333333333333,211
